STATION,NAME,DATE,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",3/4/2017,46,34
USW00024234,"SEATTLE BOEING FIELD, WA US",3/5/2017,46,35
USW00024234,"SEATTLE BOEING FIELD, WA US",3/6/2017,45,35
USW00024234,"SEATTLE BOEING FIELD, WA US",3/7/2017,44,36
USW00024234,"SEATTLE BOEING FIELD, WA US",3/8/2017,44,38
USW00024234,"SEATTLE BOEING FIELD, WA US",3/9/2017,51,39
USW00024234,"SEATTLE BOEING FIELD, WA US",3/10/2017,53,44
USW00024234,"SEATTLE BOEING FIELD, WA US",3/11/2017,53,41
USW00024234,"SEATTLE BOEING FIELD, WA US",3/12/2017,53,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/13/2017,54,48
USW00024234,"SEATTLE BOEING FIELD, WA US",3/14/2017,58,49
USW00024234,"SEATTLE BOEING FIELD, WA US",3/15/2017,52,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/16/2017,54,40
USW00024234,"SEATTLE BOEING FIELD, WA US",3/17/2017,49,37
USW00024234,"SEATTLE BOEING FIELD, WA US",3/18/2017,57,36
USW00024234,"SEATTLE BOEING FIELD, WA US",3/19/2017,53,32
USW00024234,"SEATTLE BOEING FIELD, WA US",3/20/2017,53,40
USW00024234,"SEATTLE BOEING FIELD, WA US",3/21/2017,57,46
USW00024234,"SEATTLE BOEING FIELD, WA US",3/22/2017,57,44
USW00024234,"SEATTLE BOEING FIELD, WA US",3/23/2017,58,40
USW00024234,"SEATTLE BOEING FIELD, WA US",3/24/2017,57,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/25/2017,53,44
USW00024234,"SEATTLE BOEING FIELD, WA US",3/26/2017,50,44
USW00024234,"SEATTLE BOEING FIELD, WA US",3/27/2017,55,44
USW00024234,"SEATTLE BOEING FIELD, WA US",3/28/2017,54,45
USW00024234,"SEATTLE BOEING FIELD, WA US",3/29/2017,56,46
USW00024234,"SEATTLE BOEING FIELD, WA US",3/30/2017,55,43
USW00024234,"SEATTLE BOEING FIELD, WA US",3/31/2017,56,38
USW00024234,"SEATTLE BOEING FIELD, WA US",4/1/2017,57,47
USW00024234,"SEATTLE BOEING FIELD, WA US",4/2/2017,55,41
